pair,pool_address,epochs_incentivized,epoch_range,latest_epoch,tvl_avg_latest,tvl_peak,tvl_retention,tvl_end_start_mean,fees_tvl_pct_latest,fees_tvl_pct_mean,fees_tvl_pct_wmean,fees_per_incentive_latest,fees_per_incentive_wmean,profitable_epochs,profitable_ratio,trend,trend_delta,total_fees_usd,total_incentive_usd,net_usd,lifetime_roi,retention_score,recommendation,reason
WETH/NOCK,0x467a8846e7b54eac5d4d1cb2fdc9b8752212ff0e,4,35-38,38,2479.45,2479.45,1.0,1.1084,23.8993,16.8069,19.2489,1.7729,1.3199,2,0.5,up,1.2496,1471.72,1333.13,138.59,1.104,0.8788,KEEP,Latest f/i 1.77 ≥ break-even (last run)
LFI/USDC,0x53ab4c60ff04b782f630a8685af95404f099aafd,4,35-38,38,4834.09,6075.91,0.7956,15.6319,7.408,9.2071,8.3997,0.8463,1.122,2,0.5,down,-1.5492,1769.78,1525.96,243.82,1.1598,0.7664,KEEP,Score 0.77 ≥ keep threshold — efficient & sticky
USDC/VVV,0x02107bab40bba06ae979a15f67b5ad3853c5e116,6,33-38,38,23834.69,27916.92,0.8538,12.2833,4.6844,2.8443,3.2642,1.3565,1.109,3,0.5,up,1.0373,3474.96,3345.97,128.99,1.0386,0.7246,TREASURY,Treasury allocation — excluded from incentive-budget ranking
HOME/USDC,0x3343646e7d40099f1456405859f6c28a40423bbd,3,36-39,39,1225.24,1225.24,1.0,3.421,2.2412,12.6151,12.0594,0.2126,0.7096,2,0.6667,down,-1.3179,407.39,433.86,-26.47,0.939,0.7186,WATCH,"Score 0.72, trend decaying — re-up only if budget allows"
AORA/USDC,0x7b5b9ac36bef2e808a02568704f651c607634c4b,3,36-38,38,1003.39,1272.62,0.7884,22.0826,0.5133,14.5533,8.033,0.0363,0.386,1,0.3333,down,-1.8468,304.52,553.03,-248.51,0.5506,0.5689,WATCH,"Score 0.57, trend decaying — re-up only if budget allows"
FUN/WETH,0xbcbc4c1428632a176d4cbe0b7b891bf4ee6b3e09,2,37-39,39,1864.04,1864.04,1.0,6.7741,2.6727,2.9306,3.3735,0.3163,0.422,0,0.0,down,-0.3171,102.53,240.53,-138.0,0.4263,0.4869,WATCH,"Score 0.49, trend decaying — re-up only if budget allows"
BIO/WETH,0x4bff50d91bc2fde06f31a91a781bd461f69e9bd8,1,39-39,39,989.87,989.87,1.0,20.4558,3.1358,3.1358,3.1358,0.4007,0.4007,0,0.0,n/a,0.0,31.04,77.47,-46.43,0.4007,0.4753,NEW,"Only 1 funded epoch — insufficient history, watch next epoch"
UP/WETH,0x1110d6aa4fd324f2836d618609105bb8935bbf4a,2,37-39,39,1549.55,1549.55,1.0,5.9213,2.2581,2.7212,3.094,0.2221,0.3393,0,0.0,down,-0.3517,82.69,240.59,-157.9,0.3437,0.453,WATCH,"Score 0.45, trend decaying — re-up only if budget allows"
OVPP/USDC,0x8857358a26254f8a1100434225495e633d496950,2,37-39,39,1433.19,1433.19,1.0,4.4982,1.3997,2.6409,2.8721,0.1274,0.2483,0,0.0,down,-0.3629,60.85,240.53,-179.68,0.253,0.4205,WATCH,"Score 0.42, trend decaying — re-up only if budget allows"
AUKI/USDC,0x3c709ea8105174964a45ca913dc948f2b7477b66,2,37-39,39,2673.86,2673.86,1.0,9.4276,2.349,1.5455,1.9351,0.3989,0.3885,0,0.0,flat,0.0312,93.42,240.55,-147.13,0.3884,0.4129,WATCH,"Score 0.41, trend flat — re-up only if budget allows"
DIEM/USDC,0xe6d1dabdddb884c20c0eff3c50fba364e6c14399,2,36-38,38,1587.03,1587.03,1.0,8.4157,2.2457,1.8548,2.2255,0.2787,0.2854,0,0.0,flat,-0.0204,73.56,254.64,-181.08,0.2889,0.4025,WATCH,"Score 0.40, trend flat — re-up only if budget allows"
MOCA/WETH,0x3e172af5f0dca7b8d183d2ec7bc14d8cab2216a8,1,39-39,39,366.66,366.66,1.0,6.6048,2.6891,2.6891,2.6891,0.1273,0.1273,0,0.0,n/a,0.0,9.86,77.47,-67.61,0.1273,0.3892,NEW,"Only 1 funded epoch — insufficient history, watch next epoch"
DRB/WETH,0xa9a12101beddf0950c65c32a915ae21db002623d,3,36-38,38,1259.97,1721.11,0.7321,7.7441,2.4961,3.0182,2.6369,0.2402,0.2209,0,0.0,down,-0.1269,111.64,523.48,-411.84,0.2133,0.3795,WATCH,"Score 0.38, trend decaying — re-up only if budget allows"
WETH/CHECK,0x567b69f72c0a2689c9be0cfba576af3caa896cb2,4,35-38,38,1049.84,1636.87,0.6414,0.9245,0.5325,0.5419,0.5242,0.7058,0.3042,0,0.0,up,0.6853,31.53,769.65,-738.12,0.041,0.2902,WATCH,"Score 0.29, trend improving — re-up only if budget allows"
USDC/ZEN,0x415233bf9b9156d4f777d580e67c0a4e398a84c3,6,33-38,38,735.82,1619.97,0.4542,4.1376,1.0152,1.6955,1.1956,0.1084,0.1452,0,0.0,down,-0.1702,93.7,918.92,-825.22,0.102,0.2612,WATCH,"Score 0.26, trend decaying — re-up only if budget allows"
deSPXA/USDC,0xa3c25d3f65e11008465f477665cf2303a420cfb2,3,35-37,37,3791.66,6596.36,0.5748,40.583,0.0219,0.1044,0.0795,0.0061,0.0177,0,0.0,flat,-0.0241,13.96,581.74,-567.78,0.024,0.1902,CUT,Score 0.19 ≤ cut threshold — poor ROI/retention
MAG7.ssi/USDC,0x88eaaa53405a6bf098bc38827f4642bcfd195256,3,35-37,37,1110.82,3197.11,0.3474,14.4665,0.1413,0.4731,0.4027,0.0114,0.0455,0,0.0,flat,-0.0609,36.84,583.72,-546.88,0.0631,0.1895,CUT,Score 0.19 ≤ cut threshold — poor ROI/retention
cbMEGA/WETH,0x5bc54e33cfb988bfe5e578ef69c41d357c318bde,3,33-37,37,78.2,1182.79,0.0661,7.3061,0.6905,0.6449,0.646,0.0893,0.0712,0,0.0,flat,0.0266,19.13,320.37,-301.24,0.0597,0.181,CUT,Never broke even and TVL down to 7% of peak
SOSO/USDC,0x17ed8b5358ad5dbf6ef5f07cf5e398ea40579116,3,35-37,37,1332.54,2587.4,0.515,9.0445,0.0053,0.0519,0.0356,0.0005,0.0031,0,0.0,flat,-0.0073,2.64,575.9,-573.26,0.0046,0.1789,CUT,Score 0.18 ≤ cut threshold — poor ROI/retention
cbADA/cbBTC,0xe8c3c7f1f845bc17e6964d42d84b21f97b12fcc0,0,39-39,39,476.2,476.2,1.0,0.1072,0.0,0.0,0.0,0.0,0.0,0,0.0,n/a,0.0,0.0,0.0,0.0,0.0,0.1357,NEW,"Only 0 funded epoch — insufficient history, watch next epoch"
VVV/cbBTC,0xb651439c9b086c7b4399c623e54deebcb3905f17,0,39-39,39,568.18,568.18,1.0,0.0944,0.0035,0.0035,0.0035,0.0,0.0,0,0.0,n/a,0.0,0.02,0.0,0.02,0.0,0.1346,NEW,"Only 0 funded epoch — insufficient history, watch next epoch"
BASEDAI/USDC,0x8281833536a41337e2c9450a0277416049514088,0,37-38,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,n/a,0.0,0.0,0.0,0.0,0.0,0.025,DEAD,TVL collapsed to $0 — liquidity gone
